"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"PAD1,PAD1,PAD1,PAD2,PAD1,PAD3,PAD4";"MountingHole_3.5mm_Pad_Via";7;"MountingHole_3.5mm_Pad_Via";;;
2;"U1";"ProMicro";1;"ProMicro";;;
3;"REF**,REF**,REF**";"MountingHole_2.1mm";3;"MountingHole_2.1mm";;;
4;"REF**,REF**,REF**,REF**,REF**,REF**";"MountingHole_4.3mm_M4";6;"MountingHole_4.3mm_M4";;;
5;"STOCK_FAN";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
6;"J1";"ATX24_RIGHT_ANGLE";1;"ATX24RH";;;
7;"G***";"townslogo";1;"LOGO";;;
8;"J2";"PCN1344S254DS71";1;"PCN13-44S-2.54DS_71_";;;
